date,name_ta_rep,province_rep,city_rep,school_rep,repeat_index,name_first_learner,name_second_learner,name_full,letters_correct_a1,letters_correct,submission_date,assessment_phase
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,8,a,b,Learner 323,1,1,3/12/25,Initial
3/17/25,Ta 328,eastern_cape,Gqeberha,School 10,5,a,b,Learner 2747,2,2,3/17/25,Initial
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,1,a,b,Learner 2644,3,3,3/12/25,Initial
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,5,a,b,Learner 1628,5,5,3/12/25,Initial
3/12/25,Ta 326,eastern_cape,Gqeberha,School 10,4,a,b,Learner 3839,5,5,3/12/25,Initial
3/17/25,Ta 328,eastern_cape,Gqeberha,School 10,2,a,b,Learner 3382,15,15,3/17/25,Initial
1/27/25,Ta 156,eastern_cape,Port Elizabeth,School 100,10,a,b,Learner 2096,0,0,1/27/25,Initial
1/27/25,Ta 156,eastern_cape,Port Elizabeth,School 100,12,a,b,Learner 2805,0,0,1/27/25,Initial
1/27/25,Ta 156,eastern_cape,Port Elizabeth,School 100,13,a,b,Learner 4567,0,0,1/27/25,Initial
1/28/25,Ta 156,eastern_cape,Port Elizabeth,School 100,16,a,b,Learner 5025,0,0,1/28/25,Initial
1/28/25,Ta 156,eastern_cape,Port Elizabeth,School 100,14,a,b,Learner 5185,0,0,1/28/25,Initial
1/27/25,Ta 156,eastern_cape,Port Elizabeth,School 100,11,a,b,Learner 6122,0,0,1/27/25,Initial
1/28/25,Ta 156,eastern_cape,Port Elizabeth,School 100,5,a,b,Learner 7092,0,0,1/28/25,Initial
1/27/25,Ta 156,eastern_cape,Port Elizabeth,School 100,15,a,b,Learner 393,2,2,1/27/25,Initial
1/28/25,Ta 156,eastern_cape,Port Elizabeth,School 100,8,a,b,Learner 5204,2,2,1/28/25,Initial
1/27/25,Ta 156,eastern_cape,Port Elizabeth,School 100,1,a,b,Learner 4053,3,3,1/27/25,Initial
1/28/25,Ta 156,eastern_cape,Port Elizabeth,School 100,4,a,b,Learner 6852,5,5,1/28/25,Initial
1/28/25,Ta 156,eastern_cape,Port Elizabeth,School 100,6,a,b,Learner 883,6,6,1/28/25,Initial
1/27/25,Ta 156,eastern_cape,Port Elizabeth,School 100,16,a,b,Learner 1814,7,7,1/27/25,Initial
1/27/25,Ta 156,eastern_cape,Port Elizabeth,School 100,7,a,b,Learner 2788,9,9,1/27/25,Initial
1/27/25,Ta 156,eastern_cape,Port Elizabeth,School 100,2,a,b,Learner 7969,10,10,1/27/25,Initial
1/27/25,Ta 156,eastern_cape,Port Elizabeth,School 100,4,a,b,Learner 7128,14,14,1/27/25,Initial
1/28/25,Ta 156,eastern_cape,Port Elizabeth,School 100,3,a,b,Learner 3082,19,19,1/28/25,Initial
1/28/25,Ta 156,eastern_cape,Port Elizabeth,School 100,11,a,b,Learner 1456,44,44,1/28/25,Initial
2/4/25,Ta 260,eastern_cape,Gqeberha,School 102,16,a,b,Learner 6475,0,0,2/4/25,Initial
2/4/25,Ta 260,eastern_cape,Gqeberha,School 102,9,a,b,Learner 6841,0,0,2/4/25,Initial
2/4/25,Ta 260,eastern_cape,Gqeberha,School 102,18,a,b,Learner 6847,0,0,2/4/25,Initial
2/4/25,Ta 260,eastern_cape,Gqeberha,School 102,4,a,b,Learner 7459,0,0,2/4/25,Initial
2/4/25,Ta 260,eastern_cape,Gqeberha,School 102,5,a,b,Learner 3814,1,1,2/4/25,Initial
2/4/25,Ta 260,eastern_cape,Gqeberha,School 102,3,a,b,Learner 5346,3,3,2/4/25,Initial
2/3/25,Ta 260,eastern_cape,Gqeberha,School 102,4,a,b,Learner 7014,3,3,2/3/25,Initial
2/4/25,Ta 260,eastern_cape,Gqeberha,School 102,8,a,b,Learner 3148,7,7,2/4/25,Initial
1/23/25,Ta 331,eastern_cape,Gqeberha,School 102,15,a,b,Learner 2188,0,0,1/23/25,Initial
1/23/25,Ta 331,eastern_cape,Gqeberha,School 102,3,a,b,Learner 4029,0,0,1/23/25,Initial
1/23/25,Ta 331,eastern_cape,Gqeberha,School 102,9,a,b,Learner 5870,0,0,1/23/25,Initial
1/23/25,Ta 331,eastern_cape,Gqeberha,School 102,7,a,b,Learner 5915,0,0,1/23/25,Initial
1/27/25,Ta 331,eastern_cape,Gqeberha/Port Elizabeth,School 102,12,a,b,Learner 6323,0,0,1/27/25,Initial
1/23/25,Ta 331,eastern_cape,Gqeberha,School 102,2,a,b,Learner 3946,1,1,1/23/25,Initial
1/27/25,Ta 331,eastern_cape,Gqeberha/Port Elizabeth,School 102,7,a,b,Learner 5073,4,4,1/27/25,Initial
1/23/25,Ta 331,eastern_cape,Gqeberha,School 102,4,a,b,Learner 3777,5,5,1/23/25,Initial
1/23/25,Ta 331,eastern_cape,Gqeberha,School 102,12,a,b,Learner 5575,34,34,1/23/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,16,a,b,Learner 1171,0,0,1/23/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,14,a,b,Learner 1234,0,0,1/28/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,16,a,b,Learner 1383,0,0,1/28/25,Initial
2/4/25,Ta 352,eastern_cape,Port Elizabeth,School 102,1,a,b,Learner 2038,0,0,2/4/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,13,a,b,Learner 2621,,0,1/23/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,17,a,b,Learner 2724,0,0,1/23/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,8,a,b,Learner 3372,0,0,1/28/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,11,a,b,Learner 3584,0,0,1/28/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,10,a,b,Learner 3645,0,0,1/23/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,4,a,b,Learner 3669,0,0,1/28/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,1,a,b,Learner 3943,0,0,1/23/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,9,a,b,Learner 4537,0,0,1/23/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,15,a,b,Learner 4664,0,0,1/28/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,5,a,b,Learner 4930,0,0,1/28/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,13,a,b,Learner 4991,0,0,1/28/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,6,a,b,Learner 5240,0,0,1/28/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,12,a,b,Learner 5385,0,0,1/23/25,Initial
2/4/25,Ta 352,eastern_cape,Port Elizabeth,School 102,3,a,b,Learner 5412,0,0,2/4/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,18,a,b,Learner 5519,0,0,1/23/25,Initial
2/4/25,Ta 352,eastern_cape,Port Elizabeth,School 102,2,a,b,Learner 5535,0,0,2/4/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,15,a,b,Learner 6512,0,0,1/23/25,Initial
2/4/25,Ta 352,eastern_cape,Port Elizabeth,School 102,4,a,b,Learner 6865,0,0,2/4/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,1,a,b,Learner 6867,0,0,1/28/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,10,a,b,Learner 7208,0,0,1/28/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,7,a,b,Learner 7475,,0,1/28/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,2,a,b,Learner 880,0,0,1/28/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,20,a,b,Learner 1184,1,1,1/23/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,9,a,b,Learner 6140,1,1,1/28/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,21,a,b,Learner 6437,1,1,1/23/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,2,a,b,Learner 7541,2,1,1/23/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,11,a,b,Learner 1940,2,2,1/23/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,5,a,b,Learner 4998,0,2,1/23/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,7,a,b,Learner 1060,3,3,1/23/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,4,a,b,Learner 2734,1,3,1/23/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,12,a,b,Learner 3752,3,4,1/28/25,Initial
1/28/25,Ta 352,eastern_cape,Port Elizabeth,School 102,3,a,b,Learner 7262,5,5,1/28/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,6,a,b,Learner 6184,2,7,1/23/25,Initial
1/23/25,Ta 352,eastern_cape,Port Elizabeth,School 102,3,a,b,Learner 5672,9,9,1/23/25,Initial
3/19/25,Ta 251,,Gqeberha,School 104,7,a,b,Learner 1354,0,0,3/19/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,13,a,b,Learner 4259,0,0,3/11/25,Initial
3/19/25,Ta 251,,Gqeberha,School 104,3,a,b,Learner 4818,0,0,3/19/25,Initial
3/19/25,Ta 251,,Gqeberha,School 104,2,a,b,Learner 5270,0,0,3/19/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,11,a,b,Learner 7067,0,0,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,19,a,b,Learner 998,2,2,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,10,a,b,Learner 4438,3,3,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,5,a,b,Learner 4095,4,4,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,3,a,b,Learner 5119,4,4,3/11/25,Initial
3/19/25,Ta 251,,Gqeberha,School 104,4,a,b,Learner 5747,4,4,3/19/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,9,a,b,Learner 7513,4,4,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,4,a,b,Learner 2846,5,5,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,1,a,b,Learner 7267,5,5,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,2,a,b,Learner 1148,6,6,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,8,a,b,Learner 3333,6,6,3/11/25,Initial
3/19/25,Ta 251,,Gqeberha,School 104,1,a,b,Learner 7144,6,6,3/19/25,Initial
3/19/25,Ta 251,,Gqeberha,School 104,5,a,b,Learner 584,9,9,3/19/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,12,a,b,Learner 4042,10,10,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,6,a,b,Learner 6686,10,10,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,17,a,b,Learner 2061,23,23,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,15,a,b,Learner 8244,41,24,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,14,a,b,Learner 6197,25,25,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,7,a,b,Learner 884,27,27,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,20,a,b,Learner 6231,28,28,3/11/25,Initial
3/11/25,Ta 199,,Gqeberha,School 104,16,a,b,Learner 1873,35,35,3/11/25,Initial
3/19/25,Ta 251,,Gqeberha,School 104,6,a,b,Learner 6975,49,39,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,8,a,b,Learner 1428,0,0,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,6,a,b,Learner 1472,0,0,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,12,a,b,Learner 2726,0,0,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,1,a,b,Learner 4382,0,0,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,2,a,b,Learner 6394,0,0,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,7,a,b,Learner 6824,2,2,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,23,a,b,Learner 2803,3,3,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,3,a,b,Learner 5345,5,5,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,5,a,b,Learner 2895,6,6,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,4,a,b,Learner 7273,6,6,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,4,a,b,Learner 7996,6,6,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,7,a,b,Learner 289,8,8,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,21,a,b,Learner 6160,19,19,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,1,a,b,Learner 4046,24,24,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,6,a,b,Learner 4360,30,30,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,17,a,b,Learner 1798,33,33,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,14,a,b,Learner 5259,33,33,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,16,a,b,Learner 6592,33,33,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,19,a,b,Learner 62,34,34,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,11,a,b,Learner 1916,35,35,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,26,a,b,Learner 3643,35,35,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,24,a,b,Learner 3964,35,35,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,9,a,b,Learner 6782,35,35,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,5,a,b,Learner 8246,35,35,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,13,a,b,Learner 2258,36,36,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,10,a,b,Learner 5932,36,36,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,3,a,b,Learner 6593,36,36,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,15,a,b,Learner 7557,36,36,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,22,a,b,Learner 6533,37,37,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,25,a,b,Learner 6557,37,37,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,9,a,b,Learner 6487,38,38,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,18,a,b,Learner 7553,38,38,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,20,a,b,Learner 2865,39,39,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,8,a,b,Learner 6438,39,39,3/19/25,Initial
3/19/25,Ta 201,eastern_cape,Gqeberha,School 105,2,a,b,Learner 6088,38,45,3/19/25,Initial
3/19/25,Ta 251,,Gqeberha,School 106,7,a,b,Learner 1957,6,6,3/19/25,Initial
3/19/25,Ta 251,,Gqeberha,School 106,2,a,b,Learner 910,7,7,3/19/25,Initial
3/19/25,Ta 251,,Gqeberha,School 106,4,a,b,Learner 4300,8,8,3/19/25,Initial
3/19/25,Ta 251,,Gqeberha,School 106,1,a,b,Learner 769,9,9,3/19/25,Initial
3/19/25,Ta 251,,Gqeberha,School 106,3,a,b,Learner 4811,10,10,3/19/25,Initial
3/19/25,Ta 251,,Gqeberha,School 106,5,a,b,Learner 6289,10,10,3/19/25,Initial
3/19/25,Ta 251,,Gqeberha,School 106,6,a,b,Learner 6223,12,12,3/19/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,5,a,b,Learner 1193,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,2,a,b,Learner 1334,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,1,a,b,Learner 2031,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,21,a,b,Learner 2169,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,23,a,b,Learner 2371,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,13,a,b,Learner 2663,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,8,a,b,Learner 2706,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,10,a,b,Learner 3307,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,3,a,b,Learner 3361,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,29,a,b,Learner 3478,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,17,a,b,Learner 3711,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,24,a,b,Learner 3893,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,26,a,b,Learner 4414,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,9,a,b,Learner 5656,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,27,a,b,Learner 6060,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,7,a,b,Learner 6064,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,20,a,b,Learner 6368,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,11,a,b,Learner 728,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,14,a,b,Learner 74,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,18,a,b,Learner 7900,0,0,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,4,a,b,Learner 4854,1,1,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,25,a,b,Learner 1919,2,2,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,28,a,b,Learner 202,3,3,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,16,a,b,Learner 3872,5,5,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,15,a,b,Learner 513,5,5,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,6,a,b,Learner 1910,7,7,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,22,a,b,Learner 3104,7,7,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,19,a,b,Learner 5437,8,8,3/18/25,Initial
3/18/25,Ta 27,,Port elizabeth,School 108,12,a,b,Learner 3138,10,10,3/18/25,Initial
3/14/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 1417,0,0,3/14/25,Initial
3/18/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 1420,0,0,3/18/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 1606,0,0,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 1986,0,0,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 3460,0,0,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 3811,0,0,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 4743,0,0,3/19/25,Initial
3/14/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 6585,0,0,3/14/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 6830,0,0,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 8188,0,0,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 5808,1,1,3/19/25,Initial
3/26/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 6229,1,1,3/26/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 795,3,3,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 2445,4,4,3/19/25,Initial
3/14/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 3743,5,5,3/14/25,Initial
3/13/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 4016,5,5,3/13/25,Initial
3/14/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 4395,6,6,3/14/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 3938,7,7,3/19/25,Initial
3/14/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 1096,9,9,3/14/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 4015,9,9,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 6321,9,9,3/19/25,Initial
3/14/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 240,10,10,3/14/25,Initial
3/14/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 6274,10,10,3/14/25,Initial
3/17/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 4578,11,11,3/17/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 564,11,11,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 571,13,13,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 7672,14,14,3/19/25,Initial
3/14/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 458,15,15,3/14/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 949,16,16,3/19/25,Initial
3/17/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 794,24,24,3/17/25,Initial
3/14/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 5075,25,25,3/14/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 7160,29,29,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 5238,32,32,3/19/25,Initial
3/17/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 4696,34,34,3/17/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 1306,37,37,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 4572,37,37,3/19/25,Initial
3/19/25,Ta 161,,Gqeberha,School 109,1,a,b,Learner 633,,,3/19/25,Initial
3/11/25,Ta 373,,Gqeberha,School 11,1,a,b,Learner 4834,0,0,3/11/25,Initial
3/11/25,Ta 373,,Gqberha,School 11,1,a,b,Learner 7143,7,7,3/11/25,Initial
3/12/25,Ta 373,,Gqeberha,School 11,1,a,b,Learner 2935,8,8,3/12/25,Initial
3/11/25,Ta 373,,Gqeberha,School 11,1,a,b,Learner 7129,11,11,3/11/25,Initial
3/12/25,Ta 373,,Gqeberha,School 11,1,a,b,Learner 7595,16,16,3/12/25,Initial
3/11/25,Ta 373,,Gqeberha,School 11,1,a,b,Learner 524,23,23,3/11/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,2,a,b,Learner 6925,0,0,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,3,a,b,Learner 2230,1,1,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,1,a,b,Learner 4599,1,1,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,6,a,b,Learner 7826,1,1,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,5,a,b,Learner 2451,2,2,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,2,a,b,Learner 1161,0,0,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,3,a,b,Learner 1446,0,0,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,8,a,b,Learner 1736,0,0,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,7,a,b,Learner 2308,0,0,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,1,a,b,Learner 2475,0,0,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,10,a,b,Learner 266,0,0,3/12/25,Initial
3/12/25,Ta 215,,Gqeberha,School 11,3,a,b,Learner 2913,0,0,3/12/25,Initial
3/12/25,Ta 216,,Gqeberha,School 11,4,a,b,Learner 3113,0,0,3/12/25,Initial
